policy,scenario,reward_total_mean_mean,reward_total_mean_std,reward_total_mean_count,delivered_total_mean_mean,delivered_total_mean_std,delivered_total_mean_count,dropped_total_mean_mean,dropped_total_mean_std,dropped_total_mean_count,energy_kwh_total_mean_mean,energy_kwh_total_mean_std,energy_kwh_total_mean_count,energy_steady_kwh_total_mean_mean,energy_steady_kwh_total_mean_std,energy_steady_kwh_total_mean_count,energy_transition_kwh_total_mean_mean,energy_transition_kwh_total_mean_std,energy_transition_kwh_total_mean_count,carbon_g_total_mean_mean,carbon_g_total_mean_std,carbon_g_total_mean_count,power_total_watts_mean_mean,power_total_watts_mean_std,power_total_watts_mean_count,power_fixed_watts_mean_mean,power_fixed_watts_mean_std,power_fixed_watts_mean_count,power_variable_watts_mean_mean,power_variable_watts_mean_std,power_variable_watts_mean_count,power_transition_watts_mean_mean,power_transition_watts_mean_std,power_transition_watts_mean_count,active_devices_mean_mean,active_devices_mean_std,active_devices_mean_count,active_links_mean_mean,active_links_mean_std,active_links_mean_count,avg_utilization_mean_mean,avg_utilization_mean_std,avg_utilization_mean_count,active_ratio_mean_mean,active_ratio_mean_std,active_ratio_mean_count,delivery_loss_rate_mean_mean,delivery_loss_rate_mean_std,delivery_loss_rate_mean_count,avg_delay_ms_mean_mean,avg_delay_ms_mean_std,avg_delay_ms_mean_count,avg_path_latency_ms_mean_mean,avg_path_latency_ms_mean_std,avg_path_latency_ms_mean_count,qos_violation_rate_mean_mean,qos_violation_rate_mean_std,qos_violation_rate_mean_count,qos_violation_count_mean_mean,qos_violation_count_mean_std,qos_violation_count_mean_count,transition_count_total_mean_mean,transition_count_total_mean_std,transition_count_total_mean_count,transition_on_count_total_mean_mean,transition_on_count_total_mean_std,transition_on_count_total_mean_count,transition_off_count_total_mean_mean,transition_off_count_total_mean_std,transition_off_count_total_mean_count,transition_rate_mean_mean,transition_rate_mean_std,transition_rate_mean_count,flap_event_count_total_mean_mean,flap_event_count_total_mean_std,flap_event_count_total_mean_count,flap_rate_mean_mean,flap_rate_mean_std,flap_rate_mean_count
all_on,custom,-1531.920905577636,1614.2564739198074,10,7695.0,268.79360111431225,10,630.0,664.0783086353597,10,0.01778070436507935,0.005493882284835834,10,0.01778070436507935,0.005493882284835834,10,0.0,0.0,10,7.117114007300758,2.199045926259168,10,213.3684523809523,65.92658741803014,10,200.0,63.245553203367585,10,13.368452380952391,2.681034214662599,10,0.0,0.0,10,9.0,3.1622776601683795,10,12.0,4.2163702135578385,10,0.25587797619047603,0.06392004695032782,10,1.0,0.0,10,0.07241379310344825,0.07633084007302982,10,1819.7573971861548,1899.0663464655515,10,10.291098484848488,0.9580663188856038,10,0.475,0.5006939628599933,10,142.5,150.208188857998,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
all_on,diurnal,-6348.277051683829,44.08694139371593,5,6532.254754473155,15.634291059144543,5,7264.175245526845,60.59481168205422,5,0.015551545852890519,2.7248002790989966e-06,5,0.015551545852890519,2.7248002790989966e-06,5,0.0,0.0,5,6.224865090723485,0.0010912906763992083,5,186.61855023468672,0.0326976033493878,5,176.0,0.0,5,10.618550234686717,0.032697603349373064,5,0.0,0.0,5,8.0,0.0,5,10.0,0.0,5,0.2290180779761135,0.0007463691098144084,5,1.0,0.0,5,0.5243667700939243,0.0018863200226283288,5,2626.049802956755,13.846133412683107,5,7.848557132041156,0.010476459464432151,5,0.9011000000000001,0.0031941787329105367,5,270.33000000000004,0.9582536198731667,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
all_on,flash_crowd,-12697.281243223131,29.349644259459865,5,14921.137944828679,42.30552310813006,5,85467.69205517133,545.4522172422642,5,0.023939780034585002,3.930101002980076e-06,5,0.023939780034585002,3.930101002980076e-06,5,0.0,0.0,5,9.582445849206692,0.0015728468624048473,5,287.2773604150203,0.04716121203570884,5,260.0,0.0,5,27.277360415020347,0.04716121203569993,5,0.0,0.0,5,12.0,0.0,5,16.0,0.0,5,0.3788260731830779,0.0006751663818851817,5,1.0,0.0,5,0.8489738114120996,0.0006006891982593123,5,3884.243364056156,10.935845616081359,5,10.889627943718683,0.017222063595176314,5,0.9696666666666667,0.001354006400772729,5,290.9,0.4062019202318178,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
all_on,hotspot,-7386.679535226322,55.074857426846975,5,7650.130211825184,21.205431497533475,5,10475.889788174816,215.1966589892334,5,0.01568687130723976,1.4589183825630212e-06,5,0.01568687130723976,1.4589183825630212e-06,5,0.0,0.0,5,6.279014770428089,0.0005837146694993415,5,188.2424556868779,0.017507020590762083,5,176.0,0.0,5,12.24245568687791,0.017507020590778934,5,0.0,0.0,5,8.0,0.0,5,10.0,0.0,5,0.26491315107305285,0.0003828811764269141,5,1.0,0.0,5,0.5736159064451009,0.0044090061178349215,5,3012.9272236566317,11.110014899130375,5,7.777802204973716,0.02663261760401185,5,0.9405333333333334,0.0009530652303664059,5,282.15999999999997,0.2859195691098992,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
all_on,normal,-6413.104410545745,24.17725034108976,5,7997.575545971452,14.31708556968106,5,7609.554454028548,51.93172175482308,5,0.012553837585046041,1.7145023510562862e-06,5,0.012553837585046041,1.7145023510562862e-06,5,0.0,0.0,5,5.024949741021413,0.0006864744916637884,5,150.64605102055276,0.02057402821270354,5,140.0,0.0,5,10.64605102055273,0.020574028212698995,5,0.0,0.0,5,6.0,0.0,5,8.0,0.0,5,0.31428557991502515,0.0006298353075502141,5,1.0,0.0,5,0.48640965742593095,0.0012240589659188075,5,2894.1733903904187,13.168447229338927,5,9.596441491323008,0.01303096544885766,5,0.9329000000000001,0.0013207741837439858,5,279.87,0.39623225512317234,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
heuristic,custom,-1537.6380125683745,1620.2828338256754,10,7695.0,268.79360111431225,10,630.0,664.0783086353597,10,0.017333379133597848,0.005022360089387966,10,0.017333379133597848,0.005022360089387966,10,0.0,0.0,10,6.938055005789972,2.010301166149298,10,208.00054960317425,60.26832107265574,10,194.5480000000001,57.49864060228834,10,13.452549603174617,2.769680470367784,10,0.0,0.0,10,9.0,3.1622776601683795,10,11.059999999999999,3.2255232133717473,10,0.2690363756613755,0.050049876053528855,10,0.9412499999999999,0.061927937511630775,10,0.07241379310344825,0.07633084007302982,10,1819.7573971861548,1899.0663464655515,10,10.291098484848488,0.9580663188856038,10,0.475,0.5006939628599933,10,142.5,150.208188857998,10,1.0,1.0540925533894598,10,0.0,0.0,10,1.0,1.0540925533894598,10,0.0033333333333333,0.0035136418446314976,10,0.0,0.0,10,0.0,0.0,10
heuristic,diurnal,-6722.773880900148,46.06446519387376,5,6069.771171449114,12.383009321452748,5,7726.658828550886,63.255617699280364,5,0.01469607201295114,1.1775370518871359e-05,5,0.01469607201295114,1.1775370518871359e-05,5,0.0,0.0,5,5.882428626603835,0.004712731561469374,5,176.35286415541435,0.1413044462267033,5,165.12770666666756,0.024334285369509965,5,11.225157488747552,0.12396924403749109,5,0.0,0.0,5,8.0,0.0,5,8.125466666666666,0.004195566443018213,5,0.2800641275660034,0.0031932346282479915,5,0.8125466760238013,0.0004195565550883852,5,0.5577936793033337,0.0019461095650131256,5,2743.3157519900587,16.859588878385363,5,8.30300619725904,0.10212438707946238,5,0.9011000000000001,0.0031941787329105367,5,270.33000000000004,0.9582536198731667,5,2.0,0.0,5,0.0,0.0,5,2.0,0.0,5,0.0066666666666666,0.0,5,0.0,0.0,5,0.0,0.0,5
heuristic,flash_crowd,-12707.214181763888,28.577775046132025,5,14839.445652220747,76.87301020823192,5,85549.38434777925,510.38015234240396,5,0.0238127704164276,1.2955727836469224e-05,5,0.0238127704164276,1.2955727836469224e-05,5,0.0,0.0,5,9.531605465335778,0.00518504618095924,5,285.7532449971317,0.15546873403731507,5,258.15289333333305,0.2353683465455758,5,27.60035166379838,0.15026729050469598,5,0.0,0.0,5,12.0,0.0,5,15.681533333333334,0.04058074940439311,5,0.38853598606309897,0.0028453512742095755,5,0.9800958333333334,0.0025362968377746174,5,0.8498897541469116,0.0002654731650783544,5,3863.763653311781,9.311229648918065,5,10.97022861769961,0.012382033519321085,5,0.9696666666666667,0.001354006400772729,5,290.9,0.4062019202318178,5,0.33999999999999997,0.041833001326703784,5,0.0,0.0,5,0.33999999999999997,0.041833001326703784,5,0.0011333333333333,0.00013944333775565927,5,0.0,0.0,5,0.0,0.0,5
heuristic,hotspot,-7766.709576574637,58.407831941376365,5,7091.027037080928,20.489372185632728,5,11034.992962919074,226.11346711859483,5,0.01513791003756162,1.752508655236832e-05,5,0.01513791003756162,1.752508655236832e-05,5,0.0,0.0,5,6.0592602134102584,0.007014405197655924,5,181.65492045073978,0.21030103862831945,5,169.17243333333334,0.19585439603040009,5,12.48248711740651,0.02776627644480504,5,0.0,0.0,5,8.0,0.0,5,8.822833333333332,0.0337679993155911,5,0.2944126296734827,0.0006965900612770916,5,0.8822833264589309,0.003376799697128896,5,0.6051957645343148,0.004743170449308275,5,3071.200656527611,10.988081501730901,5,8.19435866106124,0.028451157522174593,5,0.9405333333333334,0.0009530652303664059,5,282.15999999999997,0.2859195691098992,5,1.8,0.0353553390593275,5,0.0,0.0,5,1.8,0.0353553390593275,5,0.00599999999999998,0.00011785113019774609,5,0.0,0.0,5,0.0,0.0,5
heuristic,normal,-6710.588310344412,14.73723652497609,5,7596.775214261759,36.77953264333694,5,8010.354785738239,45.49592414867255,5,0.01220348218544924,1.1644906533983457e-05,5,0.01220348218544924,1.1644906533983457e-05,5,0.0,0.0,5,4.88471907012315,0.004661243653589979,5,146.44178622539152,0.13973887840771063,5,134.24949333333342,0.17347748396962717,5,12.192292892058177,0.04110288610688898,5,0.0,0.0,5,6.0,0.0,5,7.008533333333334,0.02990991102925208,5,0.38134243428097137,0.002102764623189031,5,0.8760666666666668,0.003738738878656554,5,0.5130163655080704,0.001614748902927165,5,3118.233774202986,11.786515466639816,5,10.58734993952699,0.052290259596605555,5,0.9329000000000001,0.0013207741837439858,5,279.87,0.39623225512317234,5,2.7800000000000002,0.07582875444051557,5,0.9,0.061237243569579436,5,1.8800000000000001,0.02738612787525822,5,0.009266666666666621,0.00025276251480170324,5,0.05,0.0,5,0.01799613540992846,0.0004823940285912684,5
ppo,custom,-1531.920905577636,1614.2564739198074,10,7695.0,268.79360111431225,10,630.0,664.0783086353597,10,0.01778070436507935,0.005493882284835834,10,0.01778070436507935,0.005493882284835834,10,0.0,0.0,10,7.117114007300758,2.199045926259168,10,213.3684523809523,65.92658741803014,10,200.0,63.245553203367585,10,13.368452380952391,2.681034214662599,10,0.0,0.0,10,9.0,3.1622776601683795,10,12.0,4.2163702135578385,10,0.25587797619047603,0.06392004695032782,10,1.0,0.0,10,0.07241379310344825,0.07633084007302982,10,1819.7573971861548,1899.0663464655515,10,10.291098484848488,0.9580663188856038,10,0.475,0.5006939628599933,10,142.5,150.208188857998,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
ppo,diurnal,-6442.461332348317,44.88458882413944,5,6417.5979527264835,16.070317652606967,5,7378.832047273517,63.26967438096239,5,0.01493634346926076,1.9136946056203122e-05,5,0.01493634346926076,1.9136946056203122e-05,5,0.0,0.0,5,5.9786108070178265,0.007661112919789393,5,179.23612163112958,0.2296433526745476,5,168.00779333333335,0.21571226771887436,5,11.228328297796306,0.025684239674717738,5,0.0,0.0,5,8.0,0.0,5,8.622033333333334,0.03719177029636781,5,0.2711340260927846,0.0008428621726140491,5,0.8622033247828483,0.0037191756176476716,5,0.532467679533515,0.0020115377022767856,5,2664.8508588196537,15.537690323227348,5,8.046065219690393,0.009046384307586208,5,0.9011000000000001,0.0031941787329105367,5,270.33000000000004,0.9582536198731667,5,1.44,0.04183300132670398,5,0.0,0.0,5,1.44,0.04183300132670398,5,0.00479999999999996,0.00013944333775570684,5,0.0,0.0,5,0.0,0.0,5
ppo,flash_crowd,-12677.259400043931,27.11212609355092,5,14934.789521862254,32.4173698871846,5,85454.04047813774,560.5718901920052,5,0.02391383688351706,4.586334084259395e-06,5,0.02391383688351706,4.586334084259395e-06,5,0.0,0.0,5,9.572061507121242,0.0018347972327295266,5,286.96604260220505,0.05503600901109036,5,259.03043333333306,0.15619221598192173,5,27.93560926887173,0.13845805848442386,5,0.0,0.0,5,12.0,0.0,5,15.832833333333332,0.02692969241067047,5,0.3918229759159419,0.0024919896858995507,5,0.9895520833333332,0.001683105775666982,5,0.8487938231647301,0.0007909642563333073,5,3914.073108190062,10.756666667146844,5,11.082932926825958,0.033581180479916914,5,0.9696666666666667,0.001354006400772729,5,290.9,0.4062019202318178,5,0.16999999999999998,0.027386127875258317,5,0.0,0.0,5,0.16999999999999998,0.027386127875258317,5,0.00056666666666664,9.128709291749115e-05,5,0.0,0.0,5,0.0,0.0,5
ppo,hotspot,-7484.394776399868,57.454760136465474,5,7499.442487112962,16.92811390347188,5,10626.57751288704,221.9384118600263,5,0.015238486931897041,8.027613114087372e-06,5,0.015238486931897041,8.027613114087372e-06,5,0.0,0.0,5,6.099525625495915,0.0032125152459315256,5,182.86184318276483,0.09633135736919768,5,170.13871333333296,0.09859668295075152,5,12.723129849431688,0.017668276057479688,5,0.0,0.0,5,8.0,0.0,5,8.989433333333334,0.01699942809495491,5,0.2981136905650047,0.0005669667874557456,5,0.8989433201789856,0.0016999433273448788,5,0.581978081126138,0.004717920166088599,5,3039.8343448542755,10.731127426785708,5,7.939452145986619,0.022643403057494595,5,0.9405333333333334,0.0009530652303664059,5,282.15999999999997,0.2859195691098992,5,1.24,0.022360679774997918,5,0.0,0.0,5,1.24,0.022360679774997918,5,0.00413333333333328,7.453559924996301e-05,5,0.0,0.0,5,0.0,0.0,5
ppo,normal,-6700.60093698338,13.985331442527732,5,7610.899940176624,35.363418295986044,5,7996.230059823376,40.53555021427427,5,0.01226575191080664,1.8825605081323872e-05,5,0.01226575191080664,1.8825605081323872e-05,5,0.0,0.0,5,4.9096352750614995,0.007535434431429256,5,147.18902292968022,0.22590726097588198,5,135.87098000000017,0.25257540524232525,5,11.318042929680221,0.04041761951163946,5,0.0,0.0,5,6.0,0.0,5,7.2881,0.04354748366247229,5,0.3504000857221505,0.002065552838190597,5,0.9110125,0.005443435457809058,5,0.5115742224631404,0.0013251622684730515,5,3034.368377547874,9.134010170188,5,10.152049266392918,0.033172473196744955,5,0.9329000000000001,0.0013207741837439858,5,279.87,0.39623225512317234,5,0.73,0.04472135954999583,5,0.0,0.0,5,0.73,0.04472135954999583,5,0.0024333333333333,0.0001490711984999766,5,0.0,0.0,5,0.0,0.0,5
